country,region,year,value
Central African Republic,Sub-Saharan Africa,2018,52.805
Lesotho,Sub-Saharan Africa,2018,53.705
Chad,Sub-Saharan Africa,2018,53.977
Sierra Leone,Sub-Saharan Africa,2018,54.309
Nigeria,Sub-Saharan Africa,2018,54.332
Somalia,Sub-Saharan Africa,2018,57.068
Cote d'Ivoire,Sub-Saharan Africa,2018,57.422
South Sudan,Sub-Saharan Africa,2018,57.604
Guinea-Bissau,Sub-Saharan Africa,2018,58.003
Equatorial Guinea,Sub-Saharan Africa,2018,58.402
